,title,icon_prize,average_price,users_rate,number_reviews,street,address_formatted,lat,lon
5030,Don baco,,Spanish,3.0,,Calle Napoles 331,"Cal Xic Montesell, Vallgorguina, Catalonia, Spain",41.6540336,2.508359
5031,Forn Colon,,"Breakfast, Lunch, Dinner",3.0,,"Carrer de Mallorca, 599","Carrer de Mallorca, 599, 08026 Barcelona, Spain",41.4116178,2.1860795
5032,Pool & Beer,,"Bar, Pub",3.0,,Caspe 186,"Catalonia, Spain",41.66667,2.0
5033,Historia Resto Lounge,,,2.0,,Rue de la Malga,"Catalonia, Spain",41.66667,2.0
5034,Opium Cinema,,€20 - €42,2.5,,193 - 197 Paris,"carrer Paris, 08110 Montcada i Reixac, Spain",41.4815483,2.1895314
5035,Jaleo,,€15 - €40,3.0,,Calle Tuset 5-11,"Carrer de Tuset, 08006 Barcelona, Spain",41.3956711,2.1523527
5036,Bar Restaurante Entrepans,,€4 - €9,3.0,,"Calle Rosellon, 22","Catalonia, Spain",41.66667,2.0
5037,Pans & Company,,€3 - €6,3.0,,"Rambla de Canaletes, 123","La Rambla - Font de Canaletes, La Rambla, 08001 Barcelona, Spain",41.3853035,2.1699586
5038,Restaurante Hunter,,Spanish,3.0,,"Placa de Sant Josep Oriol, 4","Plaça de Sant Josep Oriol, Barcelona, Spain",41.3823388,2.1741475
5039,Bar Versalles,,Spanish,3.0,,"Alfambra, 14","Alfambra, Carrer de Trias i Giró, 08034 Barcelona, Spain",41.3862381,2.1124486
5040,Restaurante Hachi,,€10 - €15,4.5,,"Carrer del Bruc, 70","Carrer del Bruc, 70, 08923 Santa Coloma de Gramenet, Spain",41.4475787,2.2187685
5041,Bonastre,,Cafe,3.0,,"Av. de Mistral, 10","Condonia.com, Avinguda de Mistral, 10, 08015 Barcelona, Spain",41.3775301,2.1588625
5042,Pasta Nostra - Villarroel,,€30 - €50,3.0,,Villarroel 189,"La Villarroel, Carrer de Villarroel, 87, 08011 Barcelona, Spain",41.3845152,2.1573507
5043,Petits Plaers,,Spanish,2.0,,130 Lope De Vega,"Catalonia, Spain",41.66667,2.0
